outfit_id,gender,wear_type,occasion,theme,hero,hero_id,second,second_id,layer,layer_id,footwear,footwear_id,accessory_1,accessory_1_id,accessory_2,accessory_2_id,palette,items_count,total_price_inr,image_files,stylist_rationale
syn_men_party_6,men,western,party,party men,John Players Men Blue Striped Shirt,fpi_37793,Arrow Men Wooltouch Charcoal Trousers,fpi_15120,,,Nike Men Nike air embark Black Sandals,fpi_8527,,,,,blue/charcoal,3,5657,images/fpi/37793.jpg;images/fpi/15120.jpg;images/fpi/8527.jpg,Pairs a blue Shirts with charcoal Trousers and Sandals for a cohesive party look.
syn_men_party_7,men,western,party,party men,Genesis Off-White Formal Shirt,fpi_14712,Wrangler Men Blue Texas Jeans,fpi_11295,,,Red Tape Men Grey Shoes,fpi_30257,,,,,off white/blue,3,5102,images/fpi/14712.jpg;images/fpi/11295.jpg;images/fpi/30257.jpg,Pairs a off white Shirts with blue Jeans and Casual Shoes for a cohesive party look.
syn_men_party_8,men,western,party,party men,UCB Men's Johny Collar With Two Tone Green T-shirt,fpi_6023,John Players Men Navy Regular Fit Jeans,fpi_56849,,,Converse Unisex Red Flip Flops,fpi_40740,,,,,green/navy blue,3,3995,images/fpi/6023.jpg;images/fpi/56849.jpg;images/fpi/40740.jpg,Pairs a green Tshirts with navy blue Jeans and Flip Flops for a cohesive party look.
syn_men_party_9,men,western,party,party men,ADIDAS Men's Twelve Faster T-shirt,fpi_5865,Arrow Sport Men Brown Trousers,fpi_26508,,,Playboy Men Casual Green Slippers,fpi_11859,,,,,black/brown,3,4535,images/fpi/5865.jpg;images/fpi/26508.jpg;images/fpi/11859.jpg,Pairs a black Tshirts with brown Trousers and Flip Flops for a cohesive party look.
syn_men_party_10,men,western,party,party men,Myntra Men Yellow Shirt,fpi_51400,Probase Men Solid DK.Grey Trousers,fpi_14657,,,Rockport Men Slatkin Grey Casual Shoes,fpi_15518,,,,,yellow/grey,3,4115,images/fpi/51400.jpg;images/fpi/14657.jpg;images/fpi/15518.jpg,Pairs a yellow Shirts with grey Trousers and Casual Shoes for a cohesive party look.
syn_men_party_11,men,western,party,party men,Indigo Nation Men Printed Black Shirt,fpi_31660,Indigo Nation Men ID Printed Navy Blue Trousers,fpi_8948,,,Timberland Unisex Suede Restorer Brush Shoe Accessories,fpi_6843,,,,,black/navy blue,3,4490,images/fpi/31660.jpg;images/fpi/8948.jpg;images/fpi/6843.jpg,Pairs a black Shirts with navy blue Trousers and Shoe Accessories for a cohesive party look.
syn_men_party_12,men,western,party,party men,Inkfruit Men's Double Trouble Brown T-shirt,fpi_3681,Wrangler Men Blue Skanders Jeans,fpi_41349,,,Puma Men Aqua Cat II Power Black Flip Flops,fpi_26590,,,,,brown/blue,3,5228,images/fpi/3681.jpg;images/fpi/41349.jpg;images/fpi/26590.jpg,Pairs a brown Tshirts with blue Jeans and Flip Flops for a cohesive party look.
syn_men_party_13,men,western,party,party men,Flying Machine Men Pack of 2 Stripes Red Blue Tshirts,fpi_14064,Lee Men Tino Blue Jeans,fpi_44586,,,Woodland Men Brown Shoes,fpi_22841,,,,,red/blue,3,3958,images/fpi/14064.jpg;images/fpi/44586.jpg;images/fpi/22841.jpg,Pairs a red Tshirts with blue Jeans and Casual Shoes for a cohesive party look.
syn_men_party_14,men,western,party,party men,Tantra Kid's Unisex Muscle Man Green Kidswear,fpi_4311,Jack & Jones Men Blue Jeans,fpi_44924,,,Woodland Men Black Shoes,fpi_50376,,,,,green/blue,3,4744,images/fpi/4311.jpg;images/fpi/44924.jpg;images/fpi/50376.jpg,Pairs a green Tshirts with blue Jeans and Casual Shoes for a cohesive party look.
syn_men_sports_0,men,western,sports,sports men,ADIDAS Mumbai Indians Kids Unisex Blue Match Jersey,fpi_38389,Chromozome Men Grey Melange Fashion Lounge Pants S-5145,fpi_50667,,,Fila Men Superior Silver Sports Shoes,fpi_25572,,,,,blue/grey melange,3,4041,images/fpi/38389.jpg;images/fpi/50667.jpg;images/fpi/25572.jpg,Pairs a blue Tshirts with grey melange Lounge Pants and Sports Shoes for a cohesive sports look.
syn_men_sports_1,men,western,sports,sports men,Nike Men Solid Black T-shirt,fpi_22641,Proline Men Grey Melange Track Pants,fpi_34205,,,Lotto Men White Sports Shoes,fpi_39638,,,,,black/grey melange,3,4700,images/fpi/22641.jpg;images/fpi/34205.jpg;images/fpi/39638.jpg,Pairs a black Tshirts with grey melange Track Pants and Sports Shoes for a cohesive sports look.
syn_men_sports_2,men,western,sports,sports men,ADIDAS Men's Slim Fit White T-shirt,fpi_2049,Chromozome Men Navy Blue Lounge Shorts,fpi_50656,,,Lotto Men's Fuerzapura Black Yellow Shoe,fpi_4495,,,,,white/navy blue,3,3695,images/fpi/2049.jpg;images/fpi/50656.jpg;images/fpi/4495.jpg,Pairs a white Tshirts with navy blue Lounge Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_3,men,western,sports,sports men,ADIDAS Men's Slim Fit White T-shirt,fpi_2049,ADIDAS Men's Prophecy Black Yellow Short,fpi_4808,,,Lotto Men T-Effect III White Blue Shoe,fpi_4492,,,,,white/black,3,4247,images/fpi/2049.jpg;images/fpi/4808.jpg;images/fpi/4492.jpg,Pairs a white Tshirts with black Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_4,men,western,sports,sports men,Puma Men's Record Grey T-shirt,fpi_7642,Urban Yoga Men Solid Blue Track Pants,fpi_11129,,,Kalenji Kapteren 50 Black Pink,fpi_5387,,,,,grey/blue,3,5000,images/fpi/7642.jpg;images/fpi/11129.jpg;images/fpi/5387.jpg,Pairs a grey Tshirts with blue Track Pants and Sports Shoes for a cohesive sports look.
syn_men_sports_5,men,western,sports,sports men,ADIDAS Men's Polo Crome Black T-shirt,fpi_3485,Nike Men's Blue Short,fpi_5450,,,ADIDAS Men Sports White Sports Shoes,fpi_12960,,,,,black/blue,3,4643,images/fpi/3485.jpg;images/fpi/5450.jpg;images/fpi/12960.jpg,Pairs a black Tshirts with blue Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_6,men,western,sports,sports men,Nike Men Advantage Geometric Blue Jersey,fpi_31462,ADIDAS Men Black Shorts,fpi_32420,,,ADIDAS Men White Corona Sports Shoes,fpi_42089,,,,,blue/black,3,4745,images/fpi/31462.jpg;images/fpi/32420.jpg;images/fpi/42089.jpg,Pairs a blue Tshirts with black Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_7,men,western,sports,sports men,Puma Men Grey Training T-shirt,fpi_44835,Reebok Men trackpant- male Track Pants,fpi_1607,,,Nike Men's Air Citius MSL White Grey Shoe,fpi_3161,,,,,grey/blue,3,4600,images/fpi/44835.jpg;images/fpi/1607.jpg;images/fpi/3161.jpg,Pairs a grey Tshirts with blue Track Pants and Sports Shoes for a cohesive sports look.
syn_men_sports_8,men,western,sports,sports men,Nike Men Manu Core Black Sweatshirts,fpi_9976,Proline Charcoal Grey Shorts,fpi_34250,,,Puma Men Driving Power Lo SF Black Sports Shoes,fpi_8979,,,,,black/charcoal,3,4722,images/fpi/9976.jpg;images/fpi/34250.jpg;images/fpi/8979.jpg,Pairs a black Sweatshirts with charcoal Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_9,men,western,sports,sports men,Nike Men Solid Black Sweater,fpi_22625,Proline Navy Shorts,fpi_34251,,,Nike Men's Lunar Fly Black Blue Shoe,fpi_5540,,,,,black/navy blue,3,4383,images/fpi/22625.jpg;images/fpi/34251.jpg;images/fpi/5540.jpg,Pairs a black Sweaters with navy blue Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_10,men,western,sports,sports men,ADIDAS Men's Slim Fit White T-shirt,fpi_2049,Chromozome Men Black Fashion Lounge Pants S-5145,fpi_50666,,,Puma Men Driving Power Lo SF Black Sports Shoes,fpi_8979,,,,,white/black,3,4085,images/fpi/2049.jpg;images/fpi/50666.jpg;images/fpi/8979.jpg,Pairs a white Tshirts with black Lounge Pants and Sports Shoes for a cohesive sports look.
syn_men_sports_11,men,western,sports,sports men,ADIDAS Men Green South Africa Cricket Jersey,fpi_19388,Nabaiji Unisex Black Silicone Swimming Cap,fpi_1582,,,Skechers Men Reliance Silver Sports Shoes,fpi_13165,,,,,green/black,3,4804,images/fpi/19388.jpg;images/fpi/1582.jpg;images/fpi/13165.jpg,Pairs a green Tshirts with black Swimwear and Sports Shoes for a cohesive sports look.
syn_men_sports_12,men,western,sports,sports men,Nike Men Advantage Geometric Blue Jersey,fpi_31462,Nike Men Premier Knit Grey Shorts,fpi_28513,,,Reebok Men's Zigfuel Black Yellow Shoe,fpi_5726,,,,,blue/grey,3,4272,images/fpi/31462.jpg;images/fpi/28513.jpg;images/fpi/5726.jpg,Pairs a blue Tshirts with grey Shorts and Sports Shoes for a cohesive sports look.
syn_men_sports_13,men,western,sports,sports men,Nike Mens Manchester United White T-shirt,fpi_2301,Nabaiji Unisex Black Silicone Swimming Cap,fpi_1582,,,Puma Men Driving Power Lo SF Black Sports Shoes,fpi_8979,,,,,white/black,3,4775,images/fpi/2301.jpg;images/fpi/1582.jpg;images/fpi/8979.jpg,Pairs a white Tshirts with black Swimwear and Sports Shoes for a cohesive sports look.
syn_men_sports_14,men,western,sports,sports men,ADIDAS Mumbai Indians Kids Unisex Blue Match Jersey,fpi_38389,Chromozome Men Black Lounge Pants,fpi_50660,,,Puma Men's Street White Shoe,fpi_3242,,,,,blue/black,3,4651,images/fpi/38389.jpg;images/fpi/50660.jpg;images/fpi/3242.jpg,Pairs a blue Tshirts with black Lounge Pants and Sports Shoes for a cohesive sports look.
syn_women_casual_0,women,western,casual,casual women,Nike Women Blue Grafitti Maroon Tshirts,fpi_12793,Femella Women Blue Leggings,fpi_25913,,,Catwalk Women Multi Colour Flats,fpi_39579,,,,,maroon/blue,3,4607,images/fpi/12793.jpg;images/fpi/25913.jpg;images/fpi/39579.jpg,Pairs a maroon Tshirts with blue Leggings and Heels for a cohesive casual look.
syn_women_casual_op_0,women,western,casual,casual one-piece,Femella Women Blue Nightdress,fpi_39239,,,,,Rocia Women Beige & Brown Sandals,fpi_45408,,,,,blue/beige,2,3537,images/fpi/39239.jpg;images/fpi/45408.jpg,A blue Nightdress finished with Flats keeps the silhouette clean for casual.
syn_women_casual_1,women,western,casual,casual women,ADIDAS Women Whalf Striper White Top,fpi_22392,Doodle Girls Washed Black Shorts,fpi_34118,,,Timberland Women's Estela Umbrella Green Flip Flop,fpi_6820,,,,,white/black,3,4458,images/fpi/22392.jpg;images/fpi/34118.jpg;images/fpi/6820.jpg,Pairs a white Tops with black Shorts and Flip Flops for a cohesive casual look.
syn_women_casual_op_1,women,western,casual,casual one-piece,Red Rose Women Off White Nightdress,fpi_52360,,,,,Skechers Women Blue Teal Shoe,fpi_5343,,,,,off white/blue,2,2712,images/fpi/52360.jpg;images/fpi/5343.jpg,A off white Nightdress finished with Casual Shoes keeps the silhouette clean for casual.
syn_women_casual_2,women,western,casual,casual women,Wrangler Women Summer of Love Blue T-shirt,fpi_33555,Palm Tree Girls Sp Jace Sko White Skirts,fpi_10000,,,Rockport Women Jeanie Thong Chain Pink Flats,fpi_15511,,,,,blue/white,3,5268,images/fpi/33555.jpg;images/fpi/10000.jpg;images/fpi/15511.jpg,Pairs a blue Tshirts with white Skirts and Heels for a cohesive casual look.
syn_women_casual_op_2,women,western,casual,casual one-piece,Tonga Women Printed Black Dress,fpi_34572,,,,,Catwalk Women Olive Sandals,fpi_46596,,,,,black/brown,2,4716,images/fpi/34572.jpg;images/fpi/46596.jpg,A black Dresses finished with Heels keeps the silhouette clean for casual.
syn_women_casual_3,women,western,casual,casual women,Peter England Unisex Black Laptop Bag,fpi_39514,Forever New Women Cappuccino Cream Skirts,fpi_8496,,,Puma Unisex Tropi Cat Red White Flip Flop,fpi_3626,,,,,black/cream,3,4010,images/fpi/39514.jpg;images/fpi/8496.jpg;images/fpi/3626.jpg,Pairs a black Laptop Bag with cream Skirts and Flip Flops for a cohesive casual look.
syn_women_casual_op_3,women,western,casual,casual one-piece,Red Rose Women Black Nightdress,fpi_52410,,,,,Rocia Women Casual Black Sandal,fpi_16995,,,,,black/black,2,2476,images/fpi/52410.jpg;images/fpi/16995.jpg,A black Nightdress finished with Sports Sandals keeps the silhouette clean for casual.
syn_women_casual_4,women,western,casual,casual women,Puma Women Heather USP Black Tshirts,fpi_10324,Wrangler Women Blue Giselle Jeans,fpi_51586,,,HM Women Red Heels,fpi_56882,,,,,black/blue,3,4970,images/fpi/10324.jpg;images/fpi/51586.jpg;images/fpi/56882.jpg,Pairs a black Tops with blue Jeans and Heels for a cohesive casual look.
syn_women_casual_op_4,women,western,casual,casual one-piece,Doodle Girls Pink Printed Dress,fpi_50722,,,,,Warner Bros Kids Unisex SD Silly Shoe Silver Casual Shoes,fpi_15867,,,,,pink/silver,2,4335,images/fpi/50722.jpg;images/fpi/15867.jpg,A pink Dresses finished with Casual Shoes keeps the silhouette clean for casual.
syn_women_casual_5,women,western,casual,casual women,Flying Machine Women Solid Peach Sweaters,fpi_14091,Lee Women Black Jeans,fpi_50948,,,Converse Unisex Casual Green Slipper,fpi_17649,,,,,peach/black,3,4221,images/fpi/14091.jpg;images/fpi/50948.jpg;images/fpi/17649.jpg,Pairs a peach Sweaters with black Jeans and Flip Flops for a cohesive casual look.
syn_women_casual_op_5,women,western,casual,casual one-piece,Femella Women Yellow Dress,fpi_59897,,,,,Senorita Women Black Flats,fpi_45804,,,,,yellow/black,2,4612,images/fpi/59897.jpg;images/fpi/45804.jpg,A yellow Dresses finished with Heels keeps the silhouette clean for casual.
syn_women_casual_6,women,western,casual,casual women,Wrangler Women's Pinstrupe Grey Melange T-shirt,fpi_5140,Gini and Jony Girls Black Capris,fpi_47154,,,iPanema Women Temas Brown Flip Flops,fpi_32815,,,,,grey/black,3,4706,images/fpi/5140.jpg;images/fpi/47154.jpg;images/fpi/32815.jpg,Pairs a grey Tshirts with black Capris and Flip Flops for a cohesive casual look.
syn_women_casual_op_6,women,western,casual,casual one-piece,United Colors of Benetton Women Solid White Dress,fpi_13472,,,,,Catwalk Women Casual White Flats,fpi_14348,,,,,white/white,2,4652,images/fpi/13472.jpg;images/fpi/14348.jpg,A white Dresses finished with Heels keeps the silhouette clean for casual.
syn_women_casual_7,women,western,casual,casual women,Peter England Unisex Black Laptop Bag,fpi_39513,Doodle Girls Washed Blue Capris,fpi_34116,,,Rocia Women Black Flats,fpi_13480,,,,,black/blue,3,4960,images/fpi/39513.jpg;images/fpi/34116.jpg;images/fpi/13480.jpg,Pairs a black Laptop Bag with blue Capris and Flats for a cohesive casual look.
syn_women_casual_op_7,women,western,casual,casual one-piece,French Connection Women White & Blue Striped Dress,fpi_48525,,,,,Catwalk Women Blue Casual Flats,fpi_27074,,,,,white/blue,2,4651,images/fpi/48525.jpg;images/fpi/27074.jpg,A white Dresses finished with Flats keeps the silhouette clean for casual.
syn_women_casual_8,women,western,casual,casual women,American Tourister Unisex Black Laptop Bag,fpi_25861,Levis Kids Blue Solid Jean,fpi_13671,,,Puma Unisex Matrix Red White Flip Flop,fpi_6288,,,,,black/blue,3,4159,images/fpi/25861.jpg;images/fpi/13671.jpg;images/fpi/6288.jpg,Pairs a black Laptop Bag with blue Jeans and Flip Flops for a cohesive casual look.
syn_women_casual_op_8,women,western,casual,casual one-piece,Femella Women Black Striped Tank Dress,fpi_52162,,,,,Converse Unisex Chuck Taylor Black Casual Shoes,fpi_24189,,,,,black/black,2,4643,images/fpi/52162.jpg;images/fpi/24189.jpg,A black Dresses finished with Casual Shoes keeps the silhouette clean for casual.
syn_women_casual_9,women,western,casual,casual women,French Connection Women Blue Shirt,fpi_48093,Jealous 21 Women Blue Shorts,fpi_27027,,,Catwalk Women Black Flats,fpi_39571,,,,,blue/blue,3,5018,images/fpi/48093.jpg;images/fpi/27027.jpg;images/fpi/39571.jpg,Pairs a blue Shirts with blue Shorts and Heels for a cohesive casual look.
syn_women_casual_op_9,women,western,casual,casual one-piece,Jealous 21 Women Black Dress,fpi_26934,,,,,ADIDAS Women Daily Black Shoe,fpi_5916,,,,,black/black,2,4781,images/fpi/26934.jpg;images/fpi/5916.jpg,A black Dresses finished with Casual Shoes keeps the silhouette clean for casual.
syn_women_casual_10,women,western,casual,casual women,Latin Quarters Women Purple Shirt,fpi_57992,DUSG Women Uttarkashi Organic Endive Capri,fpi_2954,,,Converse Unisex Green Flip Flops,fpi_17646,,,,,purple/yellow,3,4723,images/fpi/57992.jpg;images/fpi/2954.jpg;images/fpi/17646.jpg,Pairs a purple Shirts with yellow Capris and Flip Flops for a cohesive casual look.
syn_women_casual_op_10,women,western,casual,casual one-piece,French Connection Women White Dress,fpi_48524,,,,,Portia Women Black Wedges,fpi_47598,,,,,white/black,2,4434,images/fpi/48524.jpg;images/fpi/47598.jpg,A white Dresses finished with Heels keeps the silhouette clean for casual.
syn_women_casual_11,women,western,casual,casual women,Jealous 21 Women's Orange Rose T-shirt,fpi_5787,Jealous 21 Women's Aaren Black Jegging,fpi_7709,,,Vans Unisex Authentic Lo Pro Brown Casual Shoes,fpi_21740,,,,,orange/black,3,4074,images/fpi/5787.jpg;images/fpi/7709.jpg;images/fpi/21740.jpg,Pairs a orange Tshirts with black Jeans and Casual Shoes for a cohesive casual look.
syn_women_casual_op_11,women,western,casual,casual one-piece,Red Rose Maroon Nightdress,fpi_52411,,,,,Catwalk Women Gold Toned & Brown Flats,fpi_53131,,,,,maroon/gold,2,3123,images/fpi/52411.jpg;images/fpi/53131.jpg,A maroon Nightdress finished with Heels keeps the silhouette clean for casual.
syn_women_casual_12,women,western,casual,casual women,Femella Women Green Top,fpi_39230,Doodle Kids Girl Pink Capris,fpi_33501,,,Lotto Women White & Pink Blossom Flip Flops,fpi_44723,,,,,green/pink,3,4943,images/fpi/39230.jpg;images/fpi/33501.jpg;images/fpi/44723.jpg,Pairs a green Tops with pink Capris and Flip Flops for a cohesive casual look.
syn_women_casual_op_12,women,western,casual,casual one-piece,Inaya Women Bright Pink Nightdress,fpi_51982,,,,,Rocia Women Bronze Sandals,fpi_45385,,,,,pink/bronze,2,3246,images/fpi/51982.jpg;images/fpi/45385.jpg,A pink Nightdress finished with Flats keeps the silhouette clean for casual.
syn_women_casual_13,women,western,casual,casual women,French Connection Women Blue Shirt,fpi_48093,Elle Women Blue Skirt,fpi_57089,,,Catwalk Women Black Heels,fpi_18540,,,,,blue/navy blue,3,4861,images/fpi/48093.jpg;images/fpi/57089.jpg;images/fpi/18540.jpg,Pairs a blue Shirts with navy blue Skirts and Heels for a cohesive casual look.
syn_women_casual_op_13,women,western,casual,casual one-piece,United Colors of Benetton Women Brown Jumpsuit,fpi_57812,,,,,Warner Bros Kids Unisex LT Blug Clog Green Sandals,fpi_15858,,,,,brown/green,2,4359,images/fpi/57812.jpg;images/fpi/15858.jpg,A brown Jumpsuit finished with Sandals keeps the silhouette clean for casual.
syn_women_casual_14,women,western,casual,casual women,Lee Women Check Green Tunics,fpi_11713,Elle Women Blue Jeans,fpi_57073,,,Nike Women Air Rift Grey Shoes,fpi_31941,,,,,green/blue,3,5411,images/fpi/11713.jpg;images/fpi/57073.jpg;images/fpi/31941.jpg,Pairs a green Tunics with blue Jeans and Casual Shoes for a cohesive casual look.
syn_women_casual_op_14,women,western,casual,casual one-piece,Doodle Kids Girl Printed Blue Dress,fpi_27198,,,,,HM Women Brown Shoes,fpi_56870,,,,,blue/brown,2,4186,images/fpi/27198.jpg;images/fpi/56870.jpg,A blue Dresses finished with Casual Shoes keeps the silhouette clean for casual.
syn_women_office_op_0,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_1,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_2,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Catwalk Women Leather Formal Grey Heels,fpi_2880,,,,,black/grey,2,5546,images/fpi/59986.jpg;images/fpi/2880.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_3,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_4,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Rocia Women Brown Heels,fpi_17010,,,,,black/brown,2,5917,images/fpi/59986.jpg;images/fpi/17010.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_5,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Catwalk Women Leather Formal Grey Heels,fpi_2880,,,,,black/grey,2,5546,images/fpi/59986.jpg;images/fpi/2880.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_6,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_7,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Catwalk Women Leather Formal Grey Heels,fpi_2880,,,,,black/grey,2,5546,images/fpi/59986.jpg;images/fpi/2880.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_8,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_9,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Catwalk Women Leather Formal Grey Heels,fpi_2880,,,,,black/grey,2,5546,images/fpi/59986.jpg;images/fpi/2880.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_10,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_11,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Carlton London Women Black Heels,fpi_15490,,,,,black/black,2,5479,images/fpi/59986.jpg;images/fpi/15490.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_12,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Rocia Women Brown Heels,fpi_17010,,,,,black/brown,2,5917,images/fpi/59986.jpg;images/fpi/17010.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_13,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Rocia Women Brown Heels,fpi_17010,,,,,black/brown,2,5917,images/fpi/59986.jpg;images/fpi/17010.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_office_op_14,women,western,office,office one-piece,Avirate Women Black Dress,fpi_59986,,,,,Catwalk Women Leather Formal Grey Heels,fpi_2880,,,,,black/grey,2,5546,images/fpi/59986.jpg;images/fpi/2880.jpg,A black Dresses finished with Heels keeps the silhouette clean for office.
syn_women_sports_0,women,western,sports,sports women,ADIDAS Kids Black Pune Warriors Match Jersey,fpi_3447,Nike Women Solid Pink Shorts,fpi_15341,,,Kalenji Kapteren 50 Black Pink,fpi_5387,,,,,black/pink,3,4994,images/fpi/3447.jpg;images/fpi/15341.jpg;images/fpi/5387.jpg,Pairs a black Tshirts with pink Shorts and Sports Shoes for a cohesive sports look.
syn_women_sports_1,women,western,sports,sports women,Nike Women Purple Polo T-shirt,fpi_2307,Nike Women As Classic Black Capri,fpi_7502,,,Spinn Women Alliance Black Sports Shoes,fpi_36417,,,,,purple/black,3,4851,images/fpi/2307.jpg;images/fpi/7502.jpg;images/fpi/36417.jpg,Pairs a purple Tshirts with black Capris and Sports Shoes for a cohesive sports look.
syn_women_sports_2,women,western,sports,sports women,ADIDAS Women Fitted Black T-shirt,fpi_2078,ADIDAS Women Grey Track Pants,fpi_29056,,,Nike Women Zoo Blue Shoe,fpi_4579,,,,,black/grey,3,4573,images/fpi/2078.jpg;images/fpi/29056.jpg;images/fpi/4579.jpg,Pairs a black Tshirts with grey Track Pants and Sports Shoes for a cohesive sports look.
syn_women_sports_3,women,western,sports,sports women,Urban Yoga Women Printed Black Sweatshirt,fpi_20378,Nike Women's Border Pink Skirt,fpi_6532,,,Kalenji Kapteren 200 Yellow Fw,fpi_5389,,,,,black/pink,3,4612,images/fpi/20378.jpg;images/fpi/6532.jpg;images/fpi/5389.jpg,Pairs a black Sweatshirts with pink Skirts and Sports Shoes for a cohesive sports look.
syn_women_sports_4,women,western,sports,sports women,Kochi Tuskers Kids Replica Jersey,fpi_4124,Nike Women As Classic Black Capri,fpi_7502,,,ADIDAS Women Duramo 3 Sports Shoes,fpi_13682,,,,,purple/black,3,3872,images/fpi/4124.jpg;images/fpi/7502.jpg;images/fpi/13682.jpg,Pairs a purple Tshirts with black Capris and Sports Shoes for a cohesive sports look.
syn_women_sports_5,women,western,sports,sports women,ADIDAS Kids Black Pune Warriors Match Jersey,fpi_3447,Nike Women Tennis Black Skirt,fpi_31454,,,ADIDAS Women Blazer Sports Shoes,fpi_13678,,,,,black/black,3,4465,images/fpi/3447.jpg;images/fpi/31454.jpg;images/fpi/13678.jpg,Pairs a black Tshirts with black Skirts and Sports Shoes for a cohesive sports look.
syn_women_sports_6,women,western,sports,sports women,ADIDAS Kids Black Pune Warriors Match Jersey,fpi_3447,Urban Yoga Women Blue Capris,fpi_28458,,,Puma Women Kuris Silver & Grey Sports Shoes,fpi_33825,,,,,black/blue,3,4655,images/fpi/3447.jpg;images/fpi/28458.jpg;images/fpi/33825.jpg,Pairs a black Tshirts with blue Capris and Sports Shoes for a cohesive sports look.
syn_women_sports_7,women,western,sports,sports women,Nike Women Orange Striped Polo T-shirt,fpi_32641,Nabaiji Unisex Black Silicone Swimming Cap,fpi_1582,,,Carlton London Women Gold Wedge Sandal,fpi_2616,,,,,orange/black,3,4865,images/fpi/32641.jpg;images/fpi/1582.jpg;images/fpi/2616.jpg,Pairs a orange Tshirts with black Swimwear and Flats for a cohesive sports look.
syn_women_sports_8,women,western,sports,sports women,ADIDAS Women's Balance Brown T-shirt,fpi_4781,Urban Yoga Women Black Capris,fpi_28457,,,Fila Women Top Fuel Black Sports Shoes,fpi_34650,,,,,brown/black,3,4111,images/fpi/4781.jpg;images/fpi/28457.jpg;images/fpi/34650.jpg,Pairs a brown Tshirts with black Capris and Sports Shoes for a cohesive sports look.
syn_women_sports_9,women,western,sports,sports women,Urban Yoga Women Printed Black Sweatshirt,fpi_20378,Nike Women Cuffed Black Capris,fpi_2306,,,Nike Women Free Run Pink Sports Shoes,fpi_36137,,,,,black/black,3,4341,images/fpi/20378.jpg;images/fpi/2306.jpg;images/fpi/36137.jpg,Pairs a black Sweatshirts with black Capris and Sports Shoes for a cohesive sports look.
syn_women_sports_10,women,western,sports,sports women,ADIDAS Womens Red Tank T-shirt,fpi_1988,Nike Women Regular Grey Capris,fpi_38571,,,Reebok Women Zig Sonic Yellow and Grey Sports Shoes,fpi_4170,,,,,red/grey,3,4269,images/fpi/1988.jpg;images/fpi/38571.jpg;images/fpi/4170.jpg,Pairs a red Tshirts with grey Capris and Sports Shoes for a cohesive sports look.
